,맥주정보,검색이름,맥주이름,인덱스,편의점
27,"mile(4,635)
🇫🇮Helsinki, Finland
2.6September 18, 2017
Can. Very dark brown, small to average and mostly diminishing light brown head. Light to moderate, malty lightly sweetish, faint caramel…
Show more
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
2
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
28,"GuideDogSaint(2,549)
🇨🇳Xiamen, China
2.9September 17, 2017
500ml mostly blue can from Metro, Xiamen. Pours black with thin off white head. Aroma of roast malt. Sweetish taste.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
29,"tmdaines(652)
🇬🇧Stretford, England
2.3August 13, 2017
Tastes quitlike heavily of adjuncts with a roastiness, malty at the end. Not much to it. Nothing complex or memorable. Definitely not a…
Show more
Aroma
4
Appearance
4
Flavor
5
Mouthfeel
2
Overall
8",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
30,"sm89walt(2,305)
🇦🇺Sydney, Australia
3.0August 13, 2017
A deep, ruddy-hues brown/black with a small but lasting light tan head. Roasty malts, coffee, choc, liquorice. Light to medium body, medium…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
31,"IslandHaole(1,302)
🇯🇵Misawa, Japan
2.4July 8, 2017
Dark brown color with a beige, short lived head. Mild roasted malt scent with hints of wet cardboard and unsweetened baking cocoa.…
Show more
Aroma
4
Appearance
4
Flavor
4
Mouthfeel
3
Overall
9",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
32,"yy0pp(1,664)
2.3July 2, 2017
Can. Dark brown color with tiny tan head. Aroma - Lightly roasted, malt. Taste - Bittersweet, malt, water, hops.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
33,"DSG(20,920)
🇮🇱Tel Aviv, Israel
2.6June 1, 2017
Can sample at a tasting at troubles place. Thanks tomer. Dark brown. Malt, caramel, toast, light roast, sweet, faint bitterish note, light to…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
34,"tomer(5,304)
🇮🇱Rishon Le Zion, Israel
2.8May 23, 2017
shared at a tasting, thanks Dudu, stble, slightly dense bubbly head, quite clear very dark brown color, aroma of dark bread with hints of metal…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
35,"zvikar(11,249)
🇮🇱Ramat Gan, Israel
2.5May 17, 2017
At Dror’s place, pours brown with a beige head, aroma of chocolate, cola, flavor of malt, roasted malt, medium bodied
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
36,"Nicke80(893)
🇸🇪Södertälje, Sweden
3.3May 6, 2017
33 cl can at the container, Singapore. 
Pours black with little head. Sweet caramel aroma with sugary caramel and malty taste.…
Show more
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
12",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
37,"sephyrott(677)
2.2May 1, 2017
334ml from bottle at the Hare and Tortoise. Dark and very carbonated lager. Weak in aroma, and slight metallic aftertaste
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
7",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
38,"Sigmund(10,890)
🇳🇴Tau, Norway
3.1April 12, 2017
334 ml bottle, from Vinmonopolet, Nettbutikken. ABV is 5.5%. Black colour, large beige head. Aroma of dark malts and dark bread. Dry flavour…
Show more
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
12",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
39,"gunnfryd(18,247)
🇳🇴Kristiansand, Norway
3.2March 25, 2017
KØLF 041116. Dark brown color with a beige head. Aroma is apple, roasted malt. Flavor is roasted malt, apple, yeast, caramel. Medium…
Show more
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
40,"Tezminator(313)
🇦🇺Australia
3.0March 17, 2017
Dry with nice balanced flavour between roasted malt and faint hops. Not great, but I do not mind it.
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
11",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
41,"oh6gdx(26,481)
🇫🇮Vasa, Finland
3.1February 28, 2017
Bottled (backlog). Deep brown colour, close to black, with a mediumsized off-white head. Aroma is roasted malts, some dried fruits, mild herbs…
Show more
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
12",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
42,"Rubin77(6,374)
🇧🇪Brussels, Belgium
2.9February 3, 2017
F: big, creamy, white brown, good retention.
C: dark brown to cola colour, clear.…
Show more
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
43,"floydian1(1,833)
FNQ, Australia
2.5January 16, 2017
On tap. A straightforward dark lager with toasty caramel malts to the fore and a low hop bitterness at the finish. Light-medium body with…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
44,"anders37(30,936)
🇸🇪Malmö, Sweden
2.4January 14, 2017
Bottle. Pours a dark brown black color with a small off-white head. Has a slightly roasted malty caramel aroma. Slightly roasted malty caramel…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
11",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
45,"Cokemonkey11(1,704)
2.6December 11, 2016
Bottle. Pours black with a thin brown head subsiding average quick. Scent is some sort of ale yeast and a bit musky. Taste is dense…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
46,"thrillbert(47)
🇦🇺Adelaide, Australia
2.3January 6, 2020
Ok. Just basically like a darker version of the regular Asahi Super Dry. Certainly better schwarzbiers out there.
CAN
Aroma
4
Appearance
4
Flavor
3
Mouthfeel
3
Overall
9",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
47,"Beer5000(8,812)
🇳🇴Kristiansand, Norway
3.3November 14, 2016
334 ml bottle. Clear, dark amber body with a medium sized beige head. Aroma has roasted, dark malt with caramel. Flavor is medium sweet…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Asahi Super dray Black ,Asahi Super Dry Black,62,GS25 7/11 ministop
