,맥주,년,평점
329,Antarctica Pilsen, 2008,1.916666666666667
330,Antarctica Pilsen, 2009,1.9625
331,Antarctica Pilsen, 2010,1.8000000000000003
332,Antarctica Pilsen, 2011,1.9500000000000002
333,Antarctica Pilsen, 2012,1.625
334,Antarctica Pilsen, 2013,1.5272727272727273
335,Antarctica Pilsen, 2014,1.7000000000000002
336,Antarctica Pilsen, 2015,1.6181818181818186
337,Antarctica Pilsen, 2016,2.028571428571429
338,Antarctica Pilsen, 2017,2.25
339,Antarctica Pilsen, 2018,1.8
340,Antarctica Pilsen, 2019,3.0
341,Antarctica Pilsen, 2020,1.9
342,Antares Barley Wine, 2005,3.0
343,Antares Barley Wine, 2006,3.0857142857142854
344,Antares Barley Wine, 2007,2.765517241379311
345,Antares Barley Wine, 2008,2.5775
346,Antares Barley Wine, 2009,2.9000000000000004
347,Antares Barley Wine, 2010,2.95
348,Antares Barley Wine, 2011,3.063636363636364
349,Antares Barley Wine, 2012,3.366666666666666
350,Antares Barley Wine, 2013,3.3833333333333333
351,Antares Barley Wine, 2014,2.9333333333333336
352,Antares Barley Wine, 2015,3.1
353,Antares Barley Wine, 2016,3.1
354,Antares Barley Wine, 2017,4.1
355,Antares Barley Wine, 2018,3.55
356,Apatinsko Svetlo Pivo, 2004,3.4
357,Apatinsko Svetlo Pivo, 2008,1.5
358,Apatinsko Svetlo Pivo, 2009,2.85
359,Apatinsko Svetlo Pivo, 2010,1.6
360,Apatinsko Svetlo Pivo, 2011,2.1666666666666665
361,Apatinsko Svetlo Pivo, 2012,1.9000000000000001
362,Apatinsko Svetlo Pivo, 2013,2.6
363,Apatinsko Svetlo Pivo, 2014,2.233333333333334
364,Apatinsko Svetlo Pivo, 2015,1.9928571428571424
365,Apatinsko Svetlo Pivo, 2016,1.9375
366,Apatinsko Svetlo Pivo, 2017,1.6600000000000001
367,Apatinsko Svetlo Pivo, 2018,2.308333333333333
368,Apatinsko Svetlo Pivo, 2019,1.6199999999999999
369,Apatinsko Svetlo Pivo, 2020,1.5333333333333332
370,Ararat Beer, 2014,1.9000000000000001
371,Ararat Beer, 2016,1.55
372,Ararat Beer, 2017,1.7666666666666666
373,Ararat Beer, 2018,2.1
374,Ararat Beer, 2020,2.0
375,Ararat Beer, 2021,2.8
376,Arboga 10.2%, 2002,1.2
377,Arboga 10.2%, 2003,1.8
378,Arboga 10.2%, 2004,1.8999999999999997
379,Arboga 10.2%, 2005,1.9333333333333333
380,Arboga 10.2%, 2006,1.5624999999999998
381,Arboga 10.2%, 2007,1.7833333333333334
382,Arboga 10.2%, 2008,2.2
383,Arboga 10.2%, 2009,1.442857142857143
384,Arboga 10.2%, 2010,1.5714285714285714
385,Arboga 10.2%, 2011,1.86
386,Arboga 10.2%, 2012,1.5363636363636362
387,Arboga 10.2%, 2013,1.94
388,Arboga 10.2%, 2014,1.7409090909090907
389,Arboga 10.2%, 2015,1.7000000000000002
390,Arboga 10.2%, 2016,2.6799999999999997
391,Arboga 10.2%, 2017,2.528571428571429
392,Arboga 10.2%, 2018,1.8333333333333333
393,Arboga 10.2%, 2019,1.0999999999999999
394,Arboga 10.2%, 2020,1.35
395,Arcobräu Weissbier Hell, 2002,3.25
396,Arcobräu Weissbier Hell, 2003,3.6
397,Arcobräu Weissbier Hell, 2004,3.216666666666667
398,Arcobräu Weissbier Hell, 2005,3.34
399,Arcobräu Weissbier Hell, 2006,3.266666666666667
400,Arcobräu Weissbier Hell, 2007,3.142857142857143
401,Arcobräu Weissbier Hell, 2008,2.7624999999999997
402,Arcobräu Weissbier Hell, 2009,3.1714285714285717
403,Arcobräu Weissbier Hell, 2010,2.911111111111111
404,Arcobräu Weissbier Hell, 2011,2.96
405,Arcobräu Weissbier Hell, 2012,3.0850000000000004
406,Arcobräu Weissbier Hell, 2013,3.1818181818181817
407,Arcobräu Weissbier Hell, 2014,3.041176470588236
408,Arcobräu Weissbier Hell, 2015,3.0937500000000004
409,Arcobräu Weissbier Hell, 2016,3.342857142857143
410,Arcobräu Weissbier Hell, 2017,3.153846153846154
411,Arcobräu Weissbier Hell, 2018,2.9
412,Arcobräu Weissbier Hell, 2019,2.766666666666667
413,Arcobräu Weissbier Hell, 2020,2.9333333333333336
414,Arctic Fox Ice Cap Lager, 2009,2.96
415,Arctic Fox Ice Cap Lager, 2010,3.0624999999999996
416,Arctic Fox Ice Cap Lager, 2011,3.5
417,Arctic Fox Ice Cap Lager, 2012,2.9
418,Arctic Fox Ice Cap Lager, 2014,4.4
419,Arequipeña Rubia (Blond), 2004,2.2
420,Arequipeña Rubia (Blond), 2005,1.8
421,Arequipeña Rubia (Blond), 2006,1.65
422,Arequipeña Rubia (Blond), 2007,1.9
423,Arequipeña Rubia (Blond), 2009,2.1333333333333333
424,Arequipeña Rubia (Blond), 2011,1.4500000000000002
425,Arequipeña Rubia (Blond), 2013,1.2
426,Arequipeña Rubia (Blond), 2016,2.8
427,Arequipeña Rubia (Blond), 2018,2.75
428,Argo Lager Beer, 2002,2.6
429,Argo Lager Beer, 2003,1.5666666666666667
430,Argo Lager Beer, 2005,1.7
431,Argo Lager Beer, 2007,2.75
432,Argo Lager Beer, 2009,1.7
433,Argo Lager Beer, 2011,2.1
434,Argo Lager Beer, 2013,2.0
435,Argo Lager Beer, 2014,1.75
436,Argo Lager Beer, 2015,2.1
437,Argo Lager Beer, 2016,1.4
438,Argo Lager Beer, 2017,1.9142857142857146
439,Argo Lager Beer, 2018,2.128571428571429
440,Argo Lager Beer, 2019,2.55
441,Argo Lager Beer, 2020,2.6599999999999997
442,Ariana, 2002,1.6
443,Ariana, 2003,2.25
444,Ariana, 2005,1.8
445,Ariana, 2006,1.7
446,Ariana, 2007,1.6285714285714286
447,Ariana, 2008,1.9
448,Ariana, 2009,1.7333333333333332
449,Ariana, 2010,2.433333333333333
450,Ariana, 2011,1.35
451,Ariana, 2012,1.8
452,Ariana, 2013,2.1714285714285713
453,Ariana, 2014,2.1799999999999997
454,Ariana, 2015,2.166666666666666
455,Ariana, 2016,1.9000000000000001
456,Ariana, 2017,1.9923076923076926
457,Ariana, 2018,2.2875
458,Ariana, 2019,1.8499999999999999
459,Ariana, 2020,1.75
460,Aris, 2002,2.325
461,Aris, 2003,2.3400000000000003
462,Aris, 2004,2.4833333333333334
463,Aris, 2005,2.21
464,Aris, 2006,2.04
465,Aris, 2007,2.5500000000000003
466,Aris, 2008,1.7428571428571427
467,Aris, 2009,1.7578947368421052
468,Aris, 2010,2.0444444444444447
469,Aris, 2011,2.2714285714285714
470,Aris, 2012,1.9999999999999998
471,Aris, 2013,1.9888888888888887
472,Aris, 2014,2.7
473,Aris, 2015,2.566666666666667
474,Aris, 2016,2.65
475,Aris, 2017,2.0
476,Arpa, 2004,1.3
477,Arpa, 2009,1.0
478,Arpa, 2011,2.9
479,Arpa, 2012,1.58
480,Arpa, 2014,1.3
481,Arpa, 2015,1.8285714285714285
482,Arpa, 2016,1.9200000000000004
483,Arpa, 2017,2.275
484,Arpa, 2018,2.3333333333333335
485,Arpa, 2019,2.475
486,Asahi Super Dry, 2000,2.7000000000000006
487,Asahi Super Dry, 2001,2.326315789473684
488,Asahi Super Dry, 2002,2.365853658536585
489,Asahi Super Dry, 2003,2.1040540540540547
490,Asahi Super Dry, 2004,2.088
491,Asahi Super Dry, 2005,1.9639534883720922
492,Asahi Super Dry, 2006,2.0783132530120487
493,Asahi Super Dry, 2007,1.998214285714284
494,Asahi Super Dry, 2008,2.110476190476191
495,Asahi Super Dry, 2009,2.0544642857142863
496,Asahi Super Dry, 2010,1.9527027027027026
497,Asahi Super Dry, 2011,2.154736842105264
498,Asahi Super Dry, 2012,2.0811475409836078
499,Asahi Super Dry, 2013,2.185211267605634
500,Asahi Super Dry, 2014,2.2211678832116784
501,Asahi Super Dry, 2015,2.1017543859649126
502,Asahi Super Dry, 2016,2.223333333333333
503,Asahi Super Dry, 2017,2.291666666666666
504,Asahi Super Dry, 2018,2.4480769230769237
505,Asahi Super Dry, 2019,2.240909090909092
506,Asahi Super Dry, 2020,2.207142857142857
507,Asahi Super Dry Black, 2012,2.3363636363636364
508,Asahi Super Dry Black, 2013,2.381818181818182
509,Asahi Super Dry Black, 2014,2.6333333333333333
510,Asahi Super Dry Black, 2015,2.5000000000000004
511,Asahi Super Dry Black, 2016,2.82
512,Asahi Super Dry Black, 2017,2.6904761904761907
513,Asahi Super Dry Black, 2018,2.7181818181818183
514,Asahi Super Dry Black, 2019,2.8666666666666667
515,Asahi Super Dry Black, 2020,3.125
